"HGNC.symbol","GSM3440214","GSM3440217","GSM3440222","GSM3440223","GSM3440224"
"ACE",4.11459,3.83668,4.12861,4.43217,4.21537
"ACKR4",2.81312,2.15729,2.16473,2.03175,2.27949
"ACOT1",3.23474,2.98868,3.42191,3.4166,3.3038
"ACOT2",4.47967,4.14291,4.6463,4.80851,4.83249
"ACOT4",3.04788,3.43453,3.17343,3.24576,2.95069
"ACOT6",2.3349,2.81395,2.39215,2.37883,2.11172
"ACOX3",6.32292,6.00024,6.15501,6.05767,5.65875
"ACP7",2.80799,3.02141,2.66244,3.0737,2.68225
"ACSBG1",3.71864,3.78291,3.36473,3.64466,3.89685
"ACSL1",9.15812,8.90009,8.66437,8.56629,9.2305
"ACSL5",7.22037,6.39747,6.6115,7.0437,6.85568
"ACTB",7.1697,7.09634,7.12675,6.98275,7.1783
"ACTL7A",3.04551,3.07069,2.87324,3.0539,3.20706
"ACTL7B",4.23242,4.48377,4.21029,4.40508,4.291
"ACTR3",9.6817,9.64872,9.73494,9.52594,9.48923
"ACTR3BP2",1.53279,1.47659,1.65075,1.59584,2.19639
"ACTRT1",2.23958,2.38832,2.82608,2.2087,2.24798
"ADAM22",3.77129,3.54353,4.14169,3.94044,3.84234
"ADAMTS2",5.06964,5.13529,5.00572,5.03018,5.13589
"ADAMTS20",3.112,3.15239,3.05077,2.79402,3.10923
"ADAMTS4",3.56245,4.2688,4.08403,4.04328,4.15357
"ADAMTS6",3.89461,3.7643,3.82108,4.04735,3.79923
"ADAMTS9",2.81299,2.95048,2.69318,2.79155,3.13943
"ADAMTS9-AS1",2.58464,2.36092,2.54111,2.55111,2.5386
"ADAMTS9-AS2",3.0267,3.6163,3.52101,3.46203,3.54931
"ADAT3",3.81206,4.23862,4.03408,4.12741,4.03768
"ADCYAP1R1",4.21994,4.36035,4.03098,4.30267,4.28441
"ADGRE2",9.22443,9.90304,9.62008,8.73229,9.40742
"ADGRE3",9.59289,9.63926,9.60204,8.68895,9.71853
"ADGRF3",3.56439,4.1482,4.15047,3.98679,3.65847
"ADGRG5",6.68652,6.60995,6.75864,6.86641,6.60501
"ADM2",4.30773,4.55748,4.32678,4.48572,4.47235
"ADO",5.51859,5.01461,5.26823,5.21259,5.46929
"ADPGK",7.22359,7.0286,7.08761,6.59603,6.94772
"ADPGK-AS1",3.34091,3.32891,3.38484,3.34738,3.3616
"ADPRM",5.13629,5.06251,5.16605,4.73465,4.97425
"ADRM1",6.50629,6.42144,6.62875,6.20774,6.59253
"AGAP12P",7.865,7.797704,7.93444,7.888726,7.62444
"AGAP9",8.09925,8.07518,8.16745,8.11966,7.9002
"AGBL4",3.48375,3.69655,3.41132,3.44587,3.53237
"AGBL4-IT1",2.72818,2.91665,2.97083,2.72393,2.98808
"AGTR2",2.71449,2.55191,2.35865,2.25003,2.25665
"AHDC1",5.23307,5.04684,5.10611,5.30219,5.18422
"AHSA1",5.61988,5.415,5.66402,5.58368,5.56407
"AICDA",2.23764,2.41383,2.50262,2.62532,2.89344
"AIFM3",4.219225,4.26549,4.320465,4.392305,4.32939
"AJUBA",2.72991,3.26053,3.1048,3.20256,3.11753
"AK1",6.0729,6.32016,6.02682,6.48606,6.40153
"AK2",6.94059,6.63055,6.87228,6.73162,6.91654
"AK4",5.00842,5.01825,5.23456,5.00618,4.83496
"AKAP1",4.58531,4.21683,4.84835,4.67676,4.43492
"AKAP14",2.23655,2.19327,2.08624,1.97432,2.15607
"AKAP6",3.67855,3.63769,3.52654,3.88162,3.75485
"AKNAD1",2.34624,2.40534,2.69017,2.40404,2.25624
"AKR1B1P6",4.37028,4.91948,4.27667,4.8485,4.19656
"AKR1C2",1.88747,1.48096,2.13376,1.83324,2.05621
"AKR1C3",3.32844,3.17154,3.22799,2.99873,2.93528
"AKR1C4",1.61053,1.60986,1.55812,1.73696,1.2995
"AKR1C6P",3.22989,3.40935,3.42423,3.05898,2.85317
"AKR1C7P",4.199915,3.767775,3.416595,4.083985,4.065905
"AKR1C8P",2.58904,2.45453,2.43594,2.47003,2.45944
"AKTIP",6.64942,6.46995,6.812755,6.478325,6.661735
